Pathways,Reactions,Reaction Names,Formula,grRules,
Exchange/demand reactions,MAR04173,Ursodeoxycholic acid exchange,MAM02039e + MAM03626e  -> MAM02039c + MAM03626c ,,
Exchange/demand reactions,MAR04178,Exchange of Sulfoglycolithocholate,MAM02040e + MAM02278e  -> MAM01159e + MAM02237e ,,
Exchange/demand reactions,MAR04195,Exchange of Reverse-Triiodthyronine,MAM01371c + MAM02040c + MAM03508c  -> MAM01285c + MAM02039c + MAM02751c + MAM03508e ,,
Exchange/demand reactions,MAR04203,Exchange of Prostaglandin A1,MAM01371c + MAM02040c + MAM03509c  -> MAM01285c + MAM02039c + MAM02751c + MAM03509e ,,
Exchange/demand reactions,MAR04213,Exchange of Prostaglandin-A2,MAM01371c + MAM02040c + MAM03536c  -> MAM01285c + MAM02039c + MAM02751c + MAM03536e ,,
Exchange/demand reactions,MAR04230,Exchange of Prostaglandin-E3,MAM01371c + MAM02040c + MAM03537c  -> MAM01285c + MAM02039c + MAM02751c + MAM03537e ,,
Exchange/demand reactions,MAR04240,Exchange of Malonyl Coenzyme A,MAM00344m + MAM01371m + MAM01597m + 2 MAM02040m + MAM02552m + MAM02630m  -> MAM00286m + MAM01334m + 2 MAM02039m + MAM02041m + MAM02553m + MAM02759m + MAM02774m ,,
Exchange/demand reactions,MAR04247,Exchange of Arachidyl Coenzyme A,MAM01947e  -> ,,
Exchange/demand reactions,MAR04256,Exchange of Coenzyme A,MAM03586e  -> ,,
Exchange/demand reactions,MAR04258,Exchange of 3-Oxodocosanoyl Coenzyme A,MAM03635e  -> ,,
Exchange/demand reactions,MAR04272,Exchange of Spermine Monoaldehyde,MAM01943e  -> ,,
Exchange/demand reactions,MAR04273,Exchange of Spermidine Monoaldehyde 2,MAM02030e  -> ,,
Exchange/demand reactions,MAR04286,Exchange of Spermidine Dialdehyde,MAM01913e + MAM02040e  -> MAM01910e + MAM01983e ,,
Exchange/demand reactions,MAR04292,Exchange of Spermidine Monoaldehyde 1,MAM01913e  -> ,,
Exchange/demand reactions,MAR04293,Exchange of Maltopentaose,MAM02040c + MAM03630c  <=> MAM01986c + MAM02770c ,,
Exchange/demand reactions,MAR04294,Exchange of Beta-Casomorphin,MAM03960c  <=> MAM01690c + MAM01981c ,,
Exchange/demand reactions,MAR04298,Exchange of Beta-Casomorphin (1-6),MAM01371c + MAM02040c + MAM10028c  -> MAM01285c + MAM02039c + MAM02751c + MAM10028e ,,
Exchange/demand reactions,MAR04305,Exchange of Neocasomorphin,MAM01681e  -> MAM01681c ,,
Exchange/demand reactions,MAR04307,Exchange of Neocasomorphin (1-5),MAM02040e + MAM02630e + MAM02923e  -> MAM02039e + MAM02041e + MAM02578e + MAM02921e ,,
Exchange/demand reactions,MAR04309,Exchange of Apelin-13,MAM02040e + MAM02630e + MAM02923e  -> MAM02039e + MAM02041e + MAM02578e + MAM02922e ,,
Exchange/demand reactions,MAR04311,Exchange of Apelin (1-12),MAM02040e + MAM02630e + MAM02921e  -> MAM02039e + MAM02041e + MAM02578e + MAM02920e ,,
Exchange/demand reactions,MAR04322,Exchange of Maltoheptaose,MAM02040e + MAM02630e + MAM02922e  -> MAM02039e + MAM02041e + MAM02578e + MAM02920e ,,
Exchange/demand reactions,MAR04325,Exchange of Maltononaose,MAM02040e + MAM02552e  -> MAM01288e + MAM02039e + MAM02583e ,,
Exchange/demand reactions,MAR04337,"Exchange of 2',3'-Cyclic UMP",MAM02039e + MAM03896e  -> MAM02039c + MAM03896c ,,
Exchange/demand reactions,MAR04339,Exchange of 3'-UMP,MAM02040e + MAM01387e  -> MAM02184e + MAM01386e ,,
Exchange/demand reactions,MAR04341,Exchange of Kinetensin,MAM01330c  -> MAM01330e ,,
Exchange/demand reactions,MAR04353,Exchange of Kinetensin 1-8,MAM00357c + MAM02039c + 2 MAM02555c + 2 MAM02630c  -> MAM00345c + 3 MAM02040c + 2 MAM02554c ,,
Exchange/demand reactions,MAR04357,Exchange of Neuromedin N,MAM00361c + MAM02039c + 2 MAM02555c + 2 MAM02630c  -> MAM00347c + 3 MAM02040c + 2 MAM02554c ,,
Exchange/demand reactions,MAR04359,Exchange of Neuromedin N (1-4),MAM01159e  -> ,,
Exchange/demand reactions,MAR04361,Exchange of Kinetensin 1-3,MAM01424e  -> ,,
Exchange/demand reactions,MAR04362,Exchange of Kinetensin 4-8,MAM02040e + MAM00570e  -> MAM02039e + MAM00921e ,,
Exchange/demand reactions,MAR04364,Exchange of N-Acetyl-Seryl-Aspartyl-Lysyl-Proline,MAM02040e + MAM01943e  -> MAM02543e + MAM03635e ,,
Exchange/demand reactions,MAR04366,Exchange of N-Acetyl-Seryl-Aspartate,MAM02040e + MAM02030e  -> MAM02543e + MAM01943e ,,
Exchange/demand reactions,MAR04369,Exchange of Lysyl-Proline,MAM00346c  -> MAM00346m ,,
Exchange/demand reactions,MAR04384,Exchange of N-Acylsphingosine,MAM00344c  -> MAM00344m ,,
Exchange/demand reactions,MAR04392,Exchange of Alloxan,MAM02040r + MAM03523r  -> MAM01973r + MAM03515r ,,
Exchange/demand reactions,MAR04409,"Exchange of (5Z, 9E, 14Z)- (8Xi, 11R, 12S)-11, 12-Epoxy-8-Hydroxyicosa-5, 9, 14-Trienoate",MAM02040r + MAM03524r  -> MAM01973r + MAM03517r ,,
Transport reactions,MAR04411,Phosphate Transport In/Out via Na+ Symporter,MAM03109r + MAM03515r  -> MAM02039r + MAM03106r + MAM03523r ,ENSG00000144136 or ENSG00000168575,
Fatty acid oxidation,MAR04661,Transport of Succinyl Carnitine into Cytosol,MAM03109r + MAM03517r  -> MAM02039r + MAM03106r + MAM03524r ,ENSG00000178537,
Transport reactions,MAR04674,Transport of Bytyrylcarnitine from Peroxisomes,MAM02135c  -> MAM02135e ,ENSG00000178537,
Transport reactions,MAR04677,Transport of Bytyrylcarnitine into Mitochondrial Matrix,MAM01413c + MAM02039e + MAM02132c  -> MAM01413e + MAM02039c + MAM02132e ,ENSG00000178537,
Transport reactions,MAR04678,Esterification of Butyrylcoa to Butyrylcarnitine for Transport,MAM02135e  -> ,ENSG00000005469,
Fatty acid oxidation,MAR04719,Production of Hexanoylcarnitine,MAM02132e  -> ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Transport reactions,MAR04722,Esterification of Of Hexanoylcoa for Transport into Cytosol,MAM02532e  -> ,ENSG00000005469,
Transport reactions,MAR04726,Transport of Hexanoylcarnitine into Cytosol,MAM03622e  -> ,ENSG00000178537,
Exchange/demand reactions,MAR04927,Exchange of Docosenoic Acid (C22:1),MAM01630c + MAM02040c  -> MAM02578c + MAM03123c ,,
Exchange/demand reactions,MAR04929,Exchange of Behenic Acid,MAM00505c + MAM02040c  -> MAM01983c + MAM02039c + MAM10005c ,,
Fatty acid oxidation,MAR04966,"Fatty Acid Beta Oxidation (C10:1->C10:2), Peroxisomal",MAM02040c + MAM02736c  -> MAM00554c + MAM02751c ,ENSG00000161533,
Fatty acid oxidation,MAR04967,"Fatty Acid Beta Oxidation (C10:1->C8), Mitochondrial",MAM01597c + MAM01772c  <=> MAM01773c + MAM02348c ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR04968,"Fatty Acid Beta Oxidation (C10:1->C8:0), Peroxisomal",MAM01597m + MAM01772m  <=> MAM01773m + MAM02348m ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,
Fatty acid oxidation,MAR04970,"Reduction (C10:2->C10:1), Mitochondrial",MAM02418e  -> ,ENSG00000104325,
Fatty acid oxidation,MAR04978,"Fatty Acid Beta Oxidation (C10:2->C10:3), Mitochondrial",MAM01802x + MAM02677x  <=> MAM01803x + MAM03020x ,ENSG00000117054,
Fatty acid oxidation,MAR04984,"Fatty Acid Beta Oxidation (C10:2->C8:1), Mitochondrial",MAM00118x + MAM01802x  <=> MAM01803x + MAM03023x ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR04988,"Isomerization (C10:2), Mitochondrial",MAM02193c + MAM02453c  -> MAM02039c + MAM02161c + MAM02455c ,ENSG00000167969,
Fatty acid oxidation,MAR05001,"Fatty Acid Beta Oxidation (C10:3->C10:2), Mitochondrial",MAM01357c + MAM02040c  -> MAM00185c + MAM01400c ,ENSG00000104325,
Fatty acid oxidation,MAR05019,"Fatty Acid Beta Oxidation (C10->Ohc10), Mitochondrial",MAM01356c + MAM01402c  -> MAM01334c + MAM01357c + MAM02039c ,ENSG00000117054 and ENSG00000127884,
Fatty acid oxidation,MAR05024,"Fatty Acid Beta Oxidation (C10->C8), Mitochondrial",MAM01400c + MAM02040c  -> MAM01401c + MAM02426c ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05025,"Fatty Acid Beta Oxidation (C10->C8), Peroxisomal",MAM01371c + MAM01401c + MAM02039c  -> MAM01402c + MAM02759c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05026,Fatty Acid Beta Oxidation (C10Dc->C8Dc),MAM00185c + MAM02426c  -> MAM01356c + MAM02039c + MAM02040c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05030,"Fatty Acid Beta Oxidation (C11->C9), Mitochondrial",MAM02039c + MAM02343c + MAM02553c + MAM02630c  -> 2 MAM02040c + MAM02552c + MAM02805c ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05044,"Fatty Acid Beta Oxidation (C12:1->C10:1), Mitochondrial",MAM01828c + MAM02040c  -> MAM02751c + MAM02842c ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05069,"Fatty Acid Beta Xoidation (C12:1->C10), Peroxisomal",MAM02040c + MAM02552c  -> MAM01288c + MAM02039c + MAM02583c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,
Fatty acid oxidation,MAR05072,"Fatty Acid Beta Oxidation (C12:2->C10:1), Mitochondrial",MAM01450c  <=> MAM01450g ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05075,"Isomerization (C12:2), Mitochondrial",MAM01371c + MAM01450g + MAM02040c  -> MAM01285c + MAM01450c + MAM02039c + MAM02751c ,ENSG00000167969,
Fatty acid oxidation,MAR05083,"Fatty Acid Beta Oxidation (C12:3->C10:2), Mitochondrial",MAM02040c + MAM02750c  -> MAM00237c + MAM02039c + MAM02173c ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05090,"Isomerization (C12:3), Mitochondrial",MAM02040c + MAM02630c + MAM02815c  -> MAM02039c + MAM02041c + MAM02578c + MAM02813c ,ENSG00000167969,
Fatty acid oxidation,MAR05095,"Fatty Acid Beta Oxidation (C12->C10), Mitochondrial",MAM02040c + MAM02630c + MAM02816c  -> MAM02039c + MAM02041c + MAM02578c + MAM02814c ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05097,"Fatty Acid Beta Oxidation (C12->C10), Peroxisomal",MAM02554c + MAM02789c  -> MAM02039c + MAM02555c + MAM02786c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05098,"Fatty Acid Beta Oxidation (C12->Ohc12), Mitochondrial",MAM00121c + MAM01334c + MAM02759c  <=> MAM01371c + MAM01597c + MAM01741c ,ENSG00000117054 and ENSG00000127884,
Fatty acid oxidation,MAR05100,"Fatty Acid Beta Oxidation (C12Dc->C10Dc), Peroxisomal",MAM01371c + MAM02679c  -> MAM01285c + MAM02039c + MAM02741c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05110,"Fatty Acid Beta Oxidation (C13->C11), Mitochondrial",MAM00953c + MAM02552c  -> MAM00809c + MAM01596c + MAM02039c + MAM02553c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05111,"Fatty Acid Beta Oxidation (C14:1->C12:1), Mitochondrial",MAM02040x + MAM03025x  -> MAM00176x ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05119,"Fatty Acid Beta Xoidation (C14:1->C12:1), Peroxisomal",MAM00176x + MAM02552x  -> MAM00893x + MAM02039x + MAM02553x ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05123,"Fatty Acid Beta Oxidation (C14:2->C12:2), Mitochondrial",MAM00893x + MAM01597x  -> MAM01191x + MAM01261x ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05177,"Fatty Acid Beta Oxidation (C14:3->C12:3), Mitochondrial",MAM02630x + MAM02647x  -> MAM02041x + MAM03025x ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05179,"Fatty Acid Beta Oxidation (C14->C12), Mitochondrial",MAM01450r + MAM02678r  -> MAM01504r + MAM01597r ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05180,"Fatty Acid Beta Oxidation (C14->C12), Peroxisomal",MAM01504r + MAM02040r  -> MAM01450r + MAM02039r + MAM02674r ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05181,"Fatty Acid Beta Oxidation (C14->C14Oh), Mitochondrial",MAM01845c  <=> MAM02455c ,ENSG00000072778 and ENSG00000084754,
Fatty acid oxidation,MAR05182,"Fatty Acid Beta Oxidation (C14Dc->C12Dc), Peroxisomal",MAM00157m + MAM02552m  <=> MAM01253m + MAM02039m + MAM02553m ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05185,"Fatty Acid Beta Oxidation (C15->C13), Mitochondrial",MAM00157c + MAM02039c  -> MAM00157m + MAM02039m ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05188,"Fatty Acid Beta Oxidation (C16:1->C14:1), Mitochondrial",MAM01362e + MAM02519e  -> MAM01362c + MAM02519c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05189,"Fatty Acid Beta Xoidation (C16:1->C14:1), Peroxisomal",MAM00157e  -> ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05191,"Fatty Acid Beta Oxidation (C16:2->C14:2), Mitochondrial",MAM01371c + MAM02040c + MAM02564c  -> MAM01285c + MAM02039c + MAM02564e + MAM02751c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05194,"Fatty Acid Beta Oxidation (C16:3->C14:3), Mitochondrial",MAM01371c + MAM02040c + MAM10029c  -> MAM01285c + MAM02039c + MAM02751c + MAM10029e ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05195,"Fatty Acid Beta Oxidation (C16:3->C16:4), Mitochondrial",MAM01371c + MAM02040c + MAM10027c  -> MAM01285c + MAM02039c + MAM02751c + MAM10027e ,ENSG00000072778,
Fatty acid oxidation,MAR05208,"Fatty Acid Beta Oxidation (C16:3->C14:2), Mitochondrial",MAM01986c + MAM10039c  -> MAM01597c + MAM02039c + MAM10029c ,ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05229,"Isomerization (C16:3), Mitochondrial",MAM10029e  -> ,ENSG00000167969,
Fatty acid oxidation,MAR05242,"Fatty Acid Beta Oxidation (C16:4->C14:3), Mitochondrial",MAM01986c + MAM10038c  -> MAM01597c + MAM02039c + MAM10027c ,ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05298,"Fatty Acid Beta Oxidation (C16:4->C16:5), Mitochondrial",MAM10027e  -> ,ENSG00000072778,
Fatty acid oxidation,MAR05302,"Fatty Acid Beta Oxidation (C16:4->C16:3), Mitochondrial",MAM02039c + MAM02343c + MAM02555c + MAM02630c  -> 2 MAM02040c + MAM02554c + MAM02805c ,ENSG00000104325,
Fatty acid oxidation,MAR05306,"Isomerization (C16:4), Mitochondrial",MAM00865c + MAM02039c + MAM02555c  -> MAM00698c + MAM02554c ,ENSG00000167969,
Fatty acid oxidation,MAR05312,"Fatty Acid Beta Oxidation (C16:5->C16:4), Mitochondrial",MAM01697c + MAM02039c + MAM02444c  -> MAM00865c + MAM01596c + MAM01597c ,ENSG00000104325,
Fatty acid oxidation,MAR05325,"Fatty Acid Beta Oxidation (C16->C14), Mitochondrial",MAM02039c + MAM02555c + MAM03004c  -> MAM00264c + MAM02554c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05327,"Fatty Acid Beta Oxidation (C16->C14), Peroxisomal",MAM00698c  -> MAM02040c + MAM03004c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05331,"Fatty Acid Beta Oxidation (C16Dc->C14Dc), Peroxisomal",MAM01802x + MAM02391x  <=> MAM01803x + MAM03010x ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05334,"Fatty Acid Activation (C16Dc), Endoplasmatic Reticulum",MAM01577x + MAM01802x  <=> MAM01803x + MAM03009x ,ENSG00000197142,
Fatty acid oxidation,MAR05341,"Fatty Acid Omega Oxidation (C16->W-Ohc16), Endoplasmatic Reticulum",MAM01576x + MAM01802x  <=> MAM01803x + MAM03030x ,ENSG00000186115 and ENSG00000186529,
Fatty acid oxidation,MAR05343,"Fatty Acid Beta Oxidation (C17->C15), Mitochondrial",MAM01430e  -> ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05345,"Fatty Acid Beta Oxidation (C18:1->C16:1), Mitochondrial",MAM02039e + MAM01045e  -> MAM01045c + MAM02039c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05350,"Fatty Acid Beta Xoidation (C18:1->C16:1), Peroxisomal",MAM01430c + MAM02684c  -> MAM00235c + MAM02908c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05356,"Fatty Acid Beta Oxidation (C18:2->C16:2), Mitochondrial",MAM00980x + MAM02630x  -> MAM00678x + MAM02041x ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05358,"Fatty Acid Beta Oxidation (C18:3->C16:3), Mitochondrial",MAM01371c + MAM02040c + MAM10031c  -> MAM01285c + MAM02039c + MAM02751c + MAM10031e ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05359,"Fatty Acid Beta Oxidation (C18:3->C16:3), Mitochondrial",MAM02961c + MAM10037c  -> MAM01597c + MAM02039c + MAM10031c ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05360,"Fatty Acid Beta Oxidation (C18:4->C16:3), Mitochondrial",MAM01371c + MAM01597c + MAM10025c  -> MAM01334c + MAM02759c + MAM10037c ,ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05365,"Fatty Acid Beta Oxidation (C18:4->C16:4), Mitochondrial",MAM10031e  -> ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05367,"Isomerization of (C18:4), Mitochondrial",MAM01371c + MAM02040c + MAM02808c  -> MAM01285c + MAM02039c + MAM02751c + MAM02808m ,ENSG00000167969,
Fatty acid oxidation,MAR05369,"Fatty Acid Beta Oxidation (C18:5->C16:4), Mitochondrial",MAM02039m + MAM02808m  -> MAM01596m + MAM02685m ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05370,"Isomerization (C18:5), Mitochondrial",MAM02453e  -> ,ENSG00000167969,
Fatty acid oxidation,MAR05372,"Fatty Acid Beta Xoidation (C20:1->C18:1), Peroxisomal",MAM00163c + MAM01285c + MAM02039c  <=> MAM01371c + MAM02623c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05373,"Fatty Acid Beta Oxidation (C20:4->C18:4), Mitochondrial",MAM02027m + MAM02039m + MAM02555m  -> 2 MAM02026m + MAM02554m ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05376,"Fatty Acid Beta Oxidation (C20:5->C18:5), Mitochondrial",MAM03106e  -> ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05377,"Fatty Acid Beta Oxidation (C22:1->C20:1), Peroxisomal",MAM02040m + MAM02552m + MAM02942m  -> 2 MAM02039m + MAM02553m + MAM02943m ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05378,"Fatty Acid Beta Oxidation (C22:5->C20:4), Mitochondrial",MAM01306m + MAM01597m + MAM02552m  -> MAM01596m + MAM02553m + MAM02944m ,ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05380,"Fatty Acid Beta Oxidation (C22:5->C22:6), Mitochondrial",MAM00506c + MAM02040c  -> MAM01983c + MAM02039c + MAM10005c ,ENSG00000072778,
Fatty acid oxidation,MAR05383,"Isomerization (C22:5), Mitochondrial",MAM01984e  -> ,ENSG00000167969,
Fatty acid oxidation,MAR05403,"Fatty Acid Beta Oxidation (C22:6->C20:5), Mitochondrial",MAM01690e  -> ,ENSG00000072778 and ENSG00000084754 and ENSG00000138029,
Fatty acid oxidation,MAR05404,"Fatty Acid Beta Oxidation (C22:6->C22:5), Mitochondrial",MAM02034c + MAM03123c  -> MAM01948c + MAM02039c + MAM03114c ,ENSG00000104325,
Fatty acid oxidation,MAR05408,"Fatty Acid Beta Oxidation (C22:6->C22:7), Mitochondrial",MAM00163m + MAM02039m  -> MAM01596m + MAM02741m ,ENSG00000072778,
Fatty acid oxidation,MAR05410,"Isomerization (C22:6), Mitochondrial",MAM00163m + MAM01285m + MAM02039m  <=> MAM01371m + MAM02623m ,ENSG00000167969,
Fatty acid oxidation,MAR05412,"Fatty Acid Beta Oxidation (C22:7->C22:6), Mitochondrial",MAM02623c  <=> MAM02623m ,ENSG00000104325,
Fatty acid oxidation,MAR05421,"Fatty Acid Beta Oxidation (C22->C20), Peroxisomal",MAM01280c + MAM02040c  -> MAM02170c + MAM02578c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05428,"Fatty Acid Beta Oxidation (C24:1->C22:1), Peroxisomal",MAM03158c  -> MAM01066c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05431,"Fatty Acid Beta Oxidation (C24->C22), Peroxisomal",MAM01686c + MAM02040c  -> MAM01669c + MAM02751c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR05449,"Fatty Acid Beta Oxidation (C4->C2), Mitochondrial",MAM01968r + MAM02040r  -> MAM01965r + MAM02751r ,ENSG00000122971 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR05456,Succ->C4Dcc,MAM01965c  <=> MAM01965r ,ENSG00000110090 or ENSG00000169169 or ENSG00000205560,
Fatty acid oxidation,MAR05988,"Fatty Acid Beta Oxidation (C5->C3), Mitochondrial",MAM01189c + MAM02039c + MAM02555c  -> MAM01675c + MAM02554c ,ENSG00000122971 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06279,"Fatty Acid Beta Oxidation (C6:1->C4:0), Mitochondrial",MAM01066c + MAM02039c + MAM02555c + MAM02630c  -> MAM01189c + 2 MAM02040c + MAM02554c ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06280,"Fatty Acid Beta Oxidation (C6:1->C4:0), Peroxisomal",MAM01675c + MAM02039c + MAM02555c  -> MAM01450c + MAM02554c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835,
Fatty acid oxidation,MAR06281,"Isomerization (C6:1), Mitochondrial",MAM03642e  -> ,ENSG00000167969,
Fatty acid oxidation,MAR06283,"Fatty Acid Beta Oxidation (C6->C4), Mitochondrial",MAM03643e  -> ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06284,"Fatty Acid Beta Oxidation (C6->C4), Peroxisomal",MAM03109c + MAM03685c  -> MAM03106c + MAM03642c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR06285,"Fatty Acid Beta Oxidation (C6Dc->C4Dc), Peroxisomal",MAM03109c + MAM03685c  -> MAM03106c + MAM03643c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR06319,"Fatty Acid Beta Oxidation (C7->C5), Mitochondrial",MAM01371c + MAM02040c + MAM03642c  -> MAM01285c + MAM02039c + MAM02751c + MAM03642e ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06320,"Fatty Acid Beta Oxidation (C8:1->C6:1), Mitochondrial",MAM01371c + MAM02040c + MAM03643c  -> MAM01285c + MAM02039c + MAM02751c + MAM03643e ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06329,"Fatty Acid Beta Oxidation (C8->C6), Mitochondrial",MAM02457e  -> ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06344,"Fatty Acid Beta Oxidation (C8->C6), Peroxisomal",MAM00554c + MAM01371c  -> MAM01285c + MAM02039c + MAM02736c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR06345,"Fatty Acid Beta Oxidation (C8Dc->C6Dc), Peroxisomal",MAM01371c + MAM01597c + MAM10023c  -> MAM01334c + MAM02759c + MAM10039c ,ENSG00000060971 and ENSG00000113790 and ENSG00000133835 and ENSG00000161533,
Fatty acid oxidation,MAR06347,"Fatty Acid Beta Oxidation (C9->C7), Mitochondrial",MAM01371c + MAM01597c + MAM10030c  -> MAM01334c + MAM02759c + MAM10038c ,ENSG00000117054 and ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06349,Fatty Acid Omega Oxidation (W-Ohc16->C16Dc),MAM00553c + MAM01371c  -> MAM00551c + MAM01285c + MAM02039c ,ENSG00000072210 and ENSG00000197894,
Fatty acid oxidation,MAR06378,"Fatty Acid Beta Oxidation Trans (C10:1->C10:2), Mitochondrial",MAM01718c + MAM02040c  -> MAM00526c + MAM02751c ,ENSG00000117054,
Fatty acid oxidation,MAR06390,"Fatty Acid Beta Oxidation Trans (C10:2->C10:1), Mitochondrial",MAM02040c + MAM02685c  -> MAM00511c + MAM02039c + MAM10005c ,ENSG00000104325,
Fatty acid oxidation,MAR06407,"Fatty Acid Beta Oxidation Trans (C12:2->C10:1), Mitochondrial",MAM01830e + MAM02039e  -> MAM01830c + MAM02039c ,ENSG00000127884 and ENSG00000138796 and ENSG00000167315,
Fatty acid oxidation,MAR06418,"Isomerization Trans (C12:2), Mitochondrial",MAM01371c + MAM02813c  -> MAM01285c + MAM02039c + MAM02814c ,ENSG00000167969,
